gpu_type,sm,comm_sm,fp16,fp8,fp4,mem,mem_bw,nvlink_bw,pcie_bw,gpu_per_node,mem_read_latency,cost,power
DGX-B300,160,20,3375,7500,15000,288,8000,900,100,8,0.0001,9000,1200
DGX-B200,160,20,2250,4500,9000,180,8000,900,100,8,0.0001,6500,1000
B200-HBF-lowLatency,160,20,2250,4500,9000,3072,8000,900,100,8,0.0001,3700,1960
B200-HBF-mediumLatency,160,20,2250,4500,9000,3072,8000,900,100,8,0.001,3700,1960
B200-HBF-highLatency,160,20,2250,4500,9000,3072,8000,900,100,8,0.01,3700,1960
GB200-NVL72,160,20,2500,5000,10000,192,8000,900,100,72,0.0001,9500,2700
GB300-NVL72,160,20,3750,7500,15000,288,8000,900,100,72,0.0001,12000,3000
Rubin-NVL144,110,12,6400,12800,25600,144,6500,900,100,144,0.0001,13500,3300
RubinU-NVL576,110,12,6500,13000,26000,256,8000,1350,100,576,0.0001,20000,4000
H200,132,20,989,1979,0,141,4800,450,50,8,0.0001,4300,700
H800,132,20,989,1979,0,80,4000,200,50,8,0.0001,3600,700
H20,78,10,148,296,0,96,4000,450,50,8,0.0001,3300,290
H20-3E,78,10,148,296,0,141,4800,450,50,8,0.0001,3300,290
MI300X,304,30,1307,2614,0,192,5300,448,50,8,0.0001,5500,750
MI308X,304,30,190,380,0,192,5300,448,50,8,0.0001,6000,750
